,WTeam,LTeam,WLoc
190,Philadelphia 76ers,Miami Heat,Visitor_Team
191,New Orleans Pelicans,Toronto Raptors,Visitor_Team
192,Dallas Mavericks,Chicago Bulls,Visitor_Team
193,Utah Jazz,Memphis Grizzlies,Visitor_Team
194,Minnesota Timberwolves,Brooklyn Nets,Home_Team
195,Oklahoma City Thunder,Phoenix Suns,Home_Team
196,Sacramento Kings,San Antonio Spurs,Home_Team
197,Los Angeles Clippers,Golden State Warriors,Home_Team
198,Cleveland Cavaliers,Charlotte Hornets,Home_Team
199,Houston Rockets,Denver Nuggets,Visitor_Team
200,Golden State Warriors,Atlanta Hawks,Home_Team
201,Orlando Magic,Philadelphia 76ers,Home_Team
202,Washington Wizards,Cleveland Cavaliers,Home_Team
